target,src_fm
"@Test public void testGetIntegerParamValue() throws Exception { String paramName = ""paramName1""; int paramValue = 12; configuration.set(paramName, String.valueOf(paramValue)); Integer result = WorkflowRuntimeParameters.getIntegerParamValue(paramName, configuration); assertEquals(paramValue, result.intValue()); }","public static Integer getIntegerParamValue(String paramName, Configuration configuration) throws NumberFormatException { String paramValue = getParamValue(paramName, configuration); return paramValue!=null?Integer.valueOf(paramValue):null; }"
"@Test(expected = NullPointerException.class) public void matchCitations_NULL_ID_TYPE() { externalIdCitationMatcher.matchCitations(documentsMetadataRdd, null, pickOneDocumentMetadataFunction); }","public JavaRDD<Citation> matchCitations(JavaRDD<DocumentMetadata> documents, String idType, Function<Iterable<DocumentMetadata>, DocumentMetadata> pickSingle) { Preconditions.checkNotNull(documents); Preconditions.checkNotNull(idType); Preconditions.checkNotNull(pickSingle); JavaPairRDD<String, String> externalIdToIdMapping = idMappingExtractor.extractIdMapping(documents, idType, pickSingle); JavaPairRDD<String, Citation> externalIdReferences = referencePicker.extractExternalIdReferences(documents, idType); JavaRDD<Citation> externalIdCitation = externalIdReferences.join(externalIdToIdMapping) .map(x -> { Citation partialCitation = x._2._1; String destinationDocumentId = x._2._2; return Citation.newBuilder(partialCitation) .setDestinationDocumentId(destinationDocumentId) .build(); }); return externalIdCitation; }"
"@Test(expected = NullPointerException.class) public void match_affiliations_null() { matcher.match(null, organizations); }","public JavaRDD<AffMatchResult> match(JavaRDD<AffMatchAffiliation> affiliations, JavaRDD<AffMatchOrganization> organizations) { checkNotNull(affiliations); checkNotNull(organizations); checkNotNull(affOrgJoiner, ""affOrgJoiner has not been set""); checkNotNull(affOrgMatchComputer, ""affOrgMatchComputer has not been set""); JavaRDD<Tuple2<AffMatchAffiliation, AffMatchOrganization>> joinedAffOrgs = affOrgJoiner.join(affiliations, organizations); JavaRDD<AffMatchResult> matchedAffOrgs = affOrgMatchComputer.computeMatches(joinedAffOrgs); return matchedAffOrgs; }"
"@Test public void build() { Element affNode = createAffNode(); CermineAffiliation cAff = builder.build(affNode); assertEquals(""PolandInterdyscyplinarne Centrum ModelowaniaUniwersytet Warszawski Prosta 69, Warszawa"", cAff.getRawText()); assertEquals(""Poland"", cAff.getCountryName()); assertEquals(""PL"", cAff.getCountryCode()); assertEquals(""Prosta 69, Warszawa"", cAff.getAddress()); assertEquals(""Interdyscyplinarne Centrum Modelowania, Uniwersytet Warszawski"", cAff.getInstitution()); }","public CermineAffiliation build(Element affNode) { Preconditions.checkNotNull(affNode); CermineAffiliation aff = new CermineAffiliation(); extractRawText(affNode, aff); extractInstitution(affNode, aff); extractCountry(affNode, aff); extractAddress(affNode, aff); return aff; }"
@Test public void createDocOrgRelationMatcherVoters() { List<AffOrgMatchVoter> voters = DocOrgRelationMatcherFactory.createDocOrgRelationMatcherVoters(); assertDocOrgRelationMatcherVoters(voters); },"public static ImmutableList<AffOrgMatchVoter> createDocOrgRelationMatcherVoters() { CommonWordsVoter commonOrgNameWordsVoter = new CommonWordsVoter(ImmutableList.of(',', ';'), 2, 0.71, WITH_REGARD_TO_ORG_WORDS); commonOrgNameWordsVoter.setCommonSimilarWordCalculator(new CommonSimilarWordCalculator(0.9)); commonOrgNameWordsVoter.setMatchStrength(0.916f); CommonWordsVoter commonOrgAlternativeNameWordsVoter = new CommonWordsVoter(ImmutableList.of(',', ';'), 2, 0.71, WITH_REGARD_TO_ORG_WORDS); commonOrgAlternativeNameWordsVoter.setGetOrgNamesFunction(new GetOrgAlternativeNamesFunction()); commonOrgAlternativeNameWordsVoter.setCommonSimilarWordCalculator(new CommonSimilarWordCalculator(0.9)); commonOrgAlternativeNameWordsVoter.setMatchStrength(0.976f); CommonAffSectionWordsVoter commonAffNameSectionWordsVoter = new CommonAffSectionWordsVoter(ImmutableList.of(',', ';'), 1, 0.81); commonAffNameSectionWordsVoter.setCommonSimilarWordCalculator(new CommonSimilarWordCalculator(0.85)); commonAffNameSectionWordsVoter.setMatchStrength(0.966f); CommonAffSectionWordsVoter commonAffAlternativeNameSectionWordsVoter = new CommonAffSectionWordsVoter(ImmutableList.of(',', ';'), 1, 0.81); commonAffAlternativeNameSectionWordsVoter.setGetOrgNamesFunction(new GetOrgAlternativeNamesFunction()); commonAffAlternativeNameSectionWordsVoter.setCommonSimilarWordCalculator(new CommonSimilarWordCalculator(0.85)); commonAffAlternativeNameSectionWordsVoter.setMatchStrength(1); return ImmutableList.of( createNameCountryStrictMatchVoter(1f, new GetOrgNameFunction()), createNameCountryStrictMatchVoter(1f, new GetOrgAlternativeNamesFunction()), createNameCountryStrictMatchVoter(1f, new GetOrgShortNameFunction()), createNameStrictCountryLooseMatchVoter(1f, new GetOrgNameFunction()), createNameStrictCountryLooseMatchVoter(1f, new GetOrgAlternativeNamesFunction()), createNameStrictCountryLooseMatchVoter(1f, new GetOrgShortNameFunction()), createSectionedNameStrictCountryLooseMatchVoter(1f, new GetOrgNameFunction()), createSectionedNameStrictCountryLooseMatchVoter(1f, new GetOrgAlternativeNamesFunction()), createSectionedNameStrictCountryLooseMatchVoter(1f, new GetOrgShortNameFunction()), createSectionedNameLevenshteinCountryLooseMatchVoter(1f, new GetOrgNameFunction()), createSectionedNameLevenshteinCountryLooseMatchVoter(1f, new GetOrgAlternativeNamesFunction()), commonOrgNameWordsVoter, commonOrgAlternativeNameWordsVoter, commonAffNameSectionWordsVoter, commonAffAlternativeNameSectionWordsVoter ); }"
"@Test public void convert() { AffMatchAffiliation aff = new AffMatchAffiliation(""DOC1"", 1); AffMatchOrganization org = new AffMatchOrganization(""ORG1""); AffMatchResult affMatchResult = new AffMatchResult(aff, org, 0.85f); MatchedOrganization matchedOrg = converter.convert(affMatchResult); assertNotNull(matchedOrg); assertEquals(""DOC1"", matchedOrg.getDocumentId()); assertEquals(""ORG1"", matchedOrg.getOrganizationId()); assertEquals(0.85f, matchedOrg.getMatchStrength().floatValue(), 0.002); }",public MatchedOrganization convert(AffMatchResult affMatchResult) { Preconditions.checkNotNull(affMatchResult); MatchedOrganization matchedOrganization = new MatchedOrganization(); matchedOrganization.setDocumentId(affMatchResult.getAffiliation().getDocumentId()); matchedOrganization.setOrganizationId(affMatchResult.getOrganization().getId()); matchedOrganization.setMatchStrength(affMatchResult.getMatchStrength()); return matchedOrganization; }
"@Test(expected = RuntimeException.class) public void givenPathToResourceThatDoesNotExist_whenGetResourceContentIsCalled_thenExceptionIsThrown() { getResourceContent(""path/to/resource""); }","public static String getResourceContent(String location) { try (InputStream input = getResourceInputStream(location)) { return IOUtils.toString(input, StandardCharsets.UTF_8); } catch (Exception e) { throw new RuntimeException(e); } }"
"@Test public void removeDiacritics() { String value = ""\u0301aáLEßæ Łók""; assertEquals(""aaLEssae Lok"", DiacriticsRemover.removeDiacritics(value)); }","public static String removeDiacritics(String text) { if (text == null) { return null; } String tmp = Normalizer.normalize(text, Normalizer.Form.NFKD); StringBuilder builder = new StringBuilder(); for (int i = 0; i < tmp.length(); i++) { Character ch = tmp.charAt(i); if (Character.getType(ch) == Character.NON_SPACING_MARK) { continue; } if (lookup.containsKey(ch)) { builder.append(lookup.get(ch)); } else { builder.append(ch); } } return builder.toString(); }"
"@Test(expected = Exception.class) public void listDirsShouldThrowOnError() throws IOException { HdfsUtils.listDirs(new Configuration(), null); }","public static List<String> listDirs(Configuration hadoopConf, String pathname) throws IOException { return Arrays .stream(FileSystem.get(hadoopConf).listStatus(new Path(pathname))) .filter(FileStatus::isDirectory) .map(x -> x.getPath().toString()) .collect(Collectors.toList()); }"
"@Test public void containsSimilarString() { assertTrue(similarityChecker.containsSimilarString(ImmutableSet.of(""danmarks"", ""tekniske"", ""universitet""), ""university"", 0.8)); }","public boolean containsSimilarString(Collection<String> values, String searchValue, double minSimilarity) { for (String value : values) { double similarity = JaroWinklerDistanceCalculator.getDistance(value, searchValue); if (similarity >= minSimilarity) { return true; } } return false; }"
"@Test(expected=CmdLineParserException.class) public void testRunForNonExistingProcessClass() throws Exception { String[] args = new String[] { ""non.existing.class"" }; ProcessWrapper.main(args); }",public static void main(String[] args) throws Exception { ProcessWrapper wrapper = new ProcessWrapper(); wrapper.run(args); }
"@Test public void testStartsWith() throws Exception { assertFalse(ByteArrayUtils.startsWith( ""strA"".getBytes(ENCODING_UTF8), ""strB"".getBytes(ENCODING_UTF8))); assertTrue(ByteArrayUtils.startsWith( ""strA"".getBytes(ENCODING_UTF8), ""str"".getBytes(ENCODING_UTF8))); }","public static boolean startsWith(byte[] source, byte[] match) { return startsWith(source, 0, match); }"
"@Test public void testGetOriginValue() { assertEquals(""origin1"", CollapserUtils.getOriginValue(SampleData.envMetadataRecord11)); assertEquals(""origin1"", CollapserUtils.getOriginValue(SampleData.envTextRecord)); }",public static String getOriginValue(IndexedRecord record) { Schema schema = record.getSchema(); Object origin = record.get(schema.getField(FIELD_ORIGIN).pos()); if (origin instanceof Utf8) { return ((Utf8) record.get(schema.getField(FIELD_ORIGIN).pos())).toString(); } return (String) record.get(schema.getField(FIELD_ORIGIN).pos()); }
"@Test public void convert() { AffMatchProjectOrganization result = converter.convert(new ProjectToOrganization(projId, orgId)); assertEquals(projId, result.getProjectId()); assertEquals(orgId, result.getOrganizationId()); }","public AffMatchProjectOrganization convert(ProjectToOrganization projectOrganization) { Preconditions.checkNotNull(projectOrganization); Preconditions.checkArgument(StringUtils.isNotBlank(projectOrganization.getProjectId())); Preconditions.checkArgument(StringUtils.isNotBlank(projectOrganization.getOrganizationId())); return new AffMatchProjectOrganization(projectOrganization.getProjectId().toString(), projectOrganization.getOrganizationId().toString()); }"
"@Test public void clearOutputShouldRunProperly() throws IOException { OutputCleaner cleaner = mock(OutputCleaner.class); clearOutput(""path/to/output"", cleaner); verify(cleaner, atLeastOnce()).clearOutput(""path/to/output""); }","public static void clearOutput(SparkSession spark, String outputDocumentToProject) throws IOException { clearOutput(outputDocumentToProject, new OutputCleaner(spark)); }"
"@Test public void testGetNextLinkFromHeadersNullEmptyOrUnsupported() throws Exception { assertNull(SoftwareHeritageOriginsImporter.getNextLinkFromHeaders(null)); assertNull(SoftwareHeritageOriginsImporter.getNextLinkFromHeaders(new Header[0])); assertNull(SoftwareHeritageOriginsImporter.getNextLinkFromHeaders(new Header[] {new BasicHeader(""unsupported"", ""value"")})); }",protected static String getNextLinkFromHeaders(Header[] headers) { if (headers != null) { for (int i = 0; i < headers.length; i++) { if (HEADER_LINK.equals(headers[i].getName())) { return getNextLinkFromHeader(headers[i].getValue()); } } } return null; }
"@Test public void convert_null_properties() { organization.setName(null); organization.setShortName(null); organization.setCountryCode(null); organization.setCountryName(null); organization.setWebsiteUrl(null); AffMatchOrganization affMatchOrg = converter.convert(organization); assertEquals(organization.getId(), affMatchOrg.getId()); assertEquals("""", affMatchOrg.getName()); assertEquals("""", affMatchOrg.getShortName()); assertEquals("""", affMatchOrg.getCountryName()); assertEquals("""", affMatchOrg.getCountryCode()); assertEquals("""", affMatchOrg.getWebsiteUrl()); }","public AffMatchOrganization convert(Organization organization) { Preconditions.checkNotNull(organization); Preconditions.checkArgument(StringUtils.isNotBlank(organization.getId())); AffMatchOrganization affMatchOrg = new AffMatchOrganization(organization.getId().toString()); String orgName = toStringWithNullToEmpty(organization.getName()); if (orgName.trim().equalsIgnoreCase(""missing legal name"")) { orgName = """"; } affMatchOrg.setName(orgName); affMatchOrg.setShortName(toStringWithNullToEmpty(organization.getShortName())); affMatchOrg.setCountryName(toStringWithNullToEmpty(organization.getCountryName())); affMatchOrg.setCountryCode(toStringWithNullToEmpty(organization.getCountryCode())); affMatchOrg.setWebsiteUrl(toStringWithNullToEmpty(organization.getWebsiteUrl())); return affMatchOrg; }"
"@Test(expected = NullPointerException.class) public void reportShouldThrowExceptionWhenSparkContextIsNull() { JavaRDD<DocumentToPatentWithIdsToExport> documentToPatentsToExportWithIds = sc.emptyRDD(); reporter.report(null, documentToPatentsToExportWithIds, outputReportPath); }","public void report(JavaSparkContext sc, JavaRDD<DocumentToPatentWithIdsToExport> documentToPatentsToExportWithIds, String outputReportPath) { Preconditions.checkNotNull(sc, ""sparkContext has not been set""); Preconditions.checkNotNull(outputReportPath, ""reportPath has not been set""); ReportEntry totalRelationsCounter = ReportEntryFactory.createCounterReportEntry(PATENT_REFERENCES_COUNTER, totalRelationsCount(documentToPatentsToExportWithIds)); ReportEntry totalEntitiesCounter = ReportEntryFactory.createCounterReportEntry(EXPORTED_PATENT_ENTITIES_COUNTER, totalEntitiesCount(documentToPatentsToExportWithIds)); ReportEntry distinctPublicationsCounter = ReportEntryFactory.createCounterReportEntry(DISTINCT_PUBLICATIONS_WITH_PATENT_REFERENCES_COUNTER, distinctPublicationsCount(documentToPatentsToExportWithIds)); JavaRDD<ReportEntry> report = sc.parallelize(Arrays.asList( totalRelationsCounter, totalEntitiesCounter, distinctPublicationsCounter), 1); avroSaver.saveJavaRDD(report, ReportEntry.SCHEMA$, outputReportPath); }"
"@Test(expected = NullPointerException.class) public void matchCitations_NULL_PICK_SINGLE_FUNCTION() { externalIdCitationMatcher.matchCitations(documentsMetadataRdd, ""someIdType"", null); }","public JavaRDD<Citation> matchCitations(JavaRDD<DocumentMetadata> documents, String idType, Function<Iterable<DocumentMetadata>, DocumentMetadata> pickSingle) { Preconditions.checkNotNull(documents); Preconditions.checkNotNull(idType); Preconditions.checkNotNull(pickSingle); JavaPairRDD<String, String> externalIdToIdMapping = idMappingExtractor.extractIdMapping(documents, idType, pickSingle); JavaPairRDD<String, Citation> externalIdReferences = referencePicker.extractExternalIdReferences(documents, idType); JavaRDD<Citation> externalIdCitation = externalIdReferences.join(externalIdToIdMapping) .map(x -> { Citation partialCitation = x._2._1; String destinationDocumentId = x._2._2; return Citation.newBuilder(partialCitation) .setDestinationDocumentId(destinationDocumentId) .build(); }); return externalIdCitation; }"
"@Test public void createShortNameMainSectionHashBucketMatcher() { AffOrgMatcher matcher = MainSectionHashBucketMatcherFactory.createShortNameMainSectionHashBucketMatcher(); assertMainSectionHashBucketMatcher(matcher, GetOrgShortNameFunction.class); AffOrgMatchComputer computer = getInternalState(matcher, AffOrgMatchComputer.class); List<AffOrgMatchVoter> voters = getInternalState(computer, ""affOrgMatchVoters""); assertShortNameMainSectionHashBucketMatcherVoters(voters); }","public static AffOrgMatcher createShortNameMainSectionHashBucketMatcher() { AffOrgHashBucketJoiner mainSectionHashBucketJoiner = createMainSectionAffOrgHashJoiner(new GetOrgShortNameFunction()); AffOrgMatchComputer mainSectionHashMatchComputer = new AffOrgMatchComputer(); mainSectionHashMatchComputer.setAffOrgMatchVoters(createShortNameMainSectionHashBucketMatcherVoters()); return new AffOrgMatcher(mainSectionHashBucketJoiner, mainSectionHashMatchComputer); }"
"@Test(expected = IllegalArgumentException.class) public void convert_BLANK_DOC_ID() { converter.convert(new DocumentToProject("" "", projectId)); }","public AffMatchDocumentProject convert(DocumentToProject documentProject) { Preconditions.checkNotNull(documentProject); Preconditions.checkArgument(StringUtils.isNotBlank(documentProject.getDocumentId())); Preconditions.checkArgument(StringUtils.isNotBlank(documentProject.getProjectId())); return new AffMatchDocumentProject(documentProject.getDocumentId().toString() , documentProject.getProjectId().toString(), 1f); }"
"@Test public void recalculateStrength() { MatchedOrganization retMatchedOrganization = strengthRecalculator.recalculateStrength(matchedOrganization1, matchedOrganization2); assertEquals(""DOC_ID"", retMatchedOrganization.getDocumentId()); assertEquals(""ORG_ID"", retMatchedOrganization.getOrganizationId()); assertEquals(0.72f, retMatchedOrganization.getMatchStrength(), FLOAT_COMPARE_EPSILON); }","public MatchedOrganization recalculateStrength(MatchedOrganization match1, MatchedOrganization match2) { Preconditions.checkNotNull(match1); Preconditions.checkNotNull(match2); Preconditions.checkArgument(match1.getDocumentId().equals(match2.getDocumentId())); Preconditions.checkArgument(match1.getOrganizationId().equals(match2.getOrganizationId())); float remainingMatchStrength = 1 - match1.getMatchStrength(); float newMatchStrength = match1.getMatchStrength() + (remainingMatchStrength * match2.getMatchStrength()); return new MatchedOrganization(match1.getDocumentId(), match1.getOrganizationId(), newMatchStrength); }"
"@Test(expected = NullPointerException.class) public void chooseBetter_affMatchResult2_null() { AffMatchResult affMatchResult1 = new AffMatchResult(affiliation, organization_A, 0.7f); chooser.chooseBetter(affMatchResult1, null); }","public AffMatchResult chooseBetter(AffMatchResult affMatchResult1, AffMatchResult affMatchResult2) { Preconditions.checkNotNull(affMatchResult1); Preconditions.checkNotNull(affMatchResult2); if (Math.abs(affMatchResult1.getMatchStrength() - affMatchResult2.getMatchStrength()) < EPSILON) { return affMatchResult1; } if (affMatchResult1.getMatchStrength() > affMatchResult2.getMatchStrength()) { return affMatchResult1; } return affMatchResult2; }"
"@Test(expected = NullPointerException.class) public void match_organizations_null() { matcher.match(affiliations, null); }","public JavaRDD<AffMatchResult> match(JavaRDD<AffMatchAffiliation> affiliations, JavaRDD<AffMatchOrganization> organizations) { checkNotNull(affiliations); checkNotNull(organizations); checkNotNull(affOrgJoiner, ""affOrgJoiner has not been set""); checkNotNull(affOrgMatchComputer, ""affOrgMatchComputer has not been set""); JavaRDD<Tuple2<AffMatchAffiliation, AffMatchOrganization>> joinedAffOrgs = affOrgJoiner.join(affiliations, organizations); JavaRDD<AffMatchResult> matchedAffOrgs = affOrgMatchComputer.computeMatches(joinedAffOrgs); return matchedAffOrgs; }"
"@Test public void evaluateConfidenceLevelThresholdShouldReturnProperForValidTHreshold() { String trustLevelThreshold = ""0.7""; Float actualThreshold = ConfidenceLevelUtils.evaluateConfidenceLevelThreshold(trustLevelThreshold); Float expectedThreshold = Float.parseFloat(trustLevelThreshold) / InfoSpaceConstants.CONFIDENCE_TO_TRUST_LEVEL_FACTOR; assertEquals(expectedThreshold, actualThreshold); }",public static Float evaluateConfidenceLevelThreshold(String trustLevelThreshold) { if (StringUtils.isNotBlank(trustLevelThreshold) && !WorkflowRuntimeParameters.UNDEFINED_NONEMPTY_VALUE.equals(trustLevelThreshold)) { return Float.parseFloat(trustLevelThreshold) / InfoSpaceConstants.CONFIDENCE_TO_TRUST_LEVEL_FACTOR; } return null; }
"@Test public void convert_null_affiliations() { ExtractedDocumentMetadata document = new ExtractedDocumentMetadata(); document.setId(""xxx""); assertNull(document.getAffiliations()); List<AffMatchAffiliation> affMatchAffiliations = converter.convert(document); assertNotNull(affMatchAffiliations); assertTrue(affMatchAffiliations.size() == 0); }","public List<AffMatchAffiliation> convert(ExtractedDocumentMetadata document) { Preconditions.checkNotNull(document); Preconditions.checkArgument(StringUtils.isNotBlank(document.getId())); List<AffMatchAffiliation> affMatchAffiliations = new ArrayList<>(); if (CollectionUtils.isEmpty(document.getAffiliations())) { return affMatchAffiliations; } for (int i = 0; i < document.getAffiliations().size(); i++) { Affiliation srcAffiliation = document.getAffiliations().get(i); if (isAuthorAffiliation(i, document.getAuthors())) { affMatchAffiliations.add(convertAffiliation(document.getId(), i + 1, srcAffiliation)); } } return affMatchAffiliations; }"
"@Test public void getGetRddOrEmptyForNonExistingCache() { Path cacheRootDir = new Path(""some/root/dir""); String existingCacheId = CacheMetadataManagingProcess.UNDEFINED; CacheRecordType cacheRecordType = CacheRecordType.text; Class<DocumentText> avroRecordClass = DocumentText.class; doReturn(true).when(emptyPredefinedRdd).isEmpty(); doReturn(emptyPredefinedRdd).when(sparkContext).emptyRDD(); JavaRDD<DocumentText> result = DocumentTextCacheStorageUtils.getRddOrEmpty(sparkContext, avroLoader, cacheRootDir, existingCacheId, cacheRecordType, avroRecordClass); assertNotNull(result); assertTrue(result.isEmpty()); assertTrue(emptyPredefinedRdd == result); }","public static <T extends GenericRecord> JavaRDD<T> getRddOrEmpty(JavaSparkContext sc, SparkAvroLoader avroLoader, Path cacheRootDir, String existingCacheId, CacheRecordType cacheRecordType, Class<T> avroRecordClass) { return CacheMetadataManagingProcess.UNDEFINED.equals(existingCacheId) ? sc.emptyRDD() : avroLoader.loadJavaRDD(sc, DocumentTextCacheStorageUtils.getCacheLocation(cacheRootDir, existingCacheId, cacheRecordType).toString(), avroRecordClass); }"
"@Test(expected = IllegalArgumentException.class) public void convert_NULL_ORG_ID() { converter.convert(new DocumentToProject(documentId, null)); }","public AffMatchDocumentProject convert(DocumentToProject documentProject) { Preconditions.checkNotNull(documentProject); Preconditions.checkArgument(StringUtils.isNotBlank(documentProject.getDocumentId())); Preconditions.checkArgument(StringUtils.isNotBlank(documentProject.getProjectId())); return new AffMatchDocumentProject(documentProject.getDocumentId().toString() , documentProject.getProjectId().toString(), 1f); }"
"@Test public void convert() { DocumentToProject documentProject = new DocumentToProject(documentId, projectId); AffMatchDocumentProject retAffMatchDocProj = converter.convert(documentProject); assertEquals(new AffMatchDocumentProject(documentId, projectId, 1f), retAffMatchDocProj); }","public AffMatchDocumentProject convert(DocumentToProject documentProject) { Preconditions.checkNotNull(documentProject); Preconditions.checkArgument(StringUtils.isNotBlank(documentProject.getDocumentId())); Preconditions.checkArgument(StringUtils.isNotBlank(documentProject.getProjectId())); return new AffMatchDocumentProject(documentProject.getDocumentId().toString() , documentProject.getProjectId().toString(), 1f); }"
"@Test public void report() throws Exception { when(matchedCitations.count()).thenReturn(14L); doReturn(matchedCitationsDocumentIds).when(matchedCitations).map(any()); when(matchedCitationsDocumentIds.distinct()).thenReturn(matchedCitationsDistinctDocumentIds); when(matchedCitationsDistinctDocumentIds.count()).thenReturn(3L); doReturn(reportCounters).when(sparkContext).parallelize(any(), eq(1)); counterReporter.report(matchedCitations); verify(matchedCitations).map(extractDocIdFunction.capture()); assertExtractDocIdFunction(extractDocIdFunction.getValue()); verify(sparkContext).parallelize(reportEntriesCaptor.capture(), eq(1)); assertReportEntries(reportEntriesCaptor.getValue()); verify(avroSaver).saveJavaRDD(reportCounters, ReportEntry.SCHEMA$, reportPath); }","public void report(JavaRDD<Citation> matchedCitations) { checkState(); ReportEntry matchedCitationsCounter = generateMatchedCitationsCounter(matchedCitations); ReportEntry docsWithMatchedCitationsCounter = generateDocsWithCitationsCounter(matchedCitations); JavaRDD<ReportEntry> report = sparkContext .parallelize(Lists.newArrayList(matchedCitationsCounter, docsWithMatchedCitationsCounter), 1); avroSaver.saveJavaRDD(report, ReportEntry.SCHEMA$, reportPath); }"
"@Test public void normalize() { AffMatchOrganization org = new AffMatchOrganization(""XXX""); org.setName(""ICM_LONG""); org.setShortName(""ICM""); org.setCountryCode(""PL""); org.setCountryName(""Poland""); org.setWebsiteUrl(""www.icm.edu.pl""); when(organizationNameNormalizer.normalize(""ICM_LONG"")).thenReturn(""icm long""); when(organizationShortNameNormalizer.normalize(""ICM"")).thenReturn(""icm""); when(countryCodeNormalizer.normalize(""PL"")).thenReturn(""pl""); when(countryNameNormalizer.normalize(""Poland"")).thenReturn(""poland""); when(websiteUrlNormalizer.normalize(""www.icm.edu.pl"")).thenReturn(""icm.edu.pl""); AffMatchOrganization normalizedOrg = normalizer.normalize(org); assertTrue(org != normalizedOrg); assertEquals(""XXX"", normalizedOrg.getId()); assertEquals(""icm long"", normalizedOrg.getName()); assertEquals(""icm"", normalizedOrg.getShortName()); assertEquals(""pl"", normalizedOrg.getCountryCode()); assertEquals(""poland"", normalizedOrg.getCountryName()); assertEquals(""icm.edu.pl"", normalizedOrg.getWebsiteUrl()); }",public AffMatchOrganization normalize(AffMatchOrganization affMatchOrganization) { Preconditions.checkNotNull(affMatchOrganization); AffMatchOrganization normalizedOrganization = new AffMatchOrganization(affMatchOrganization.getId()); normalizedOrganization.setName(organizationNameNormalizer.normalize(affMatchOrganization.getName())); normalizedOrganization.setShortName(organizationShortNameNormalizer.normalize(affMatchOrganization.getShortName())); normalizedOrganization.setCountryName(countryNameNormalizer.normalize(affMatchOrganization.getCountryName())); normalizedOrganization.setCountryCode(countryCodeNormalizer.normalize(affMatchOrganization.getCountryCode())); normalizedOrganization.setWebsiteUrl(websiteUrlNormalizer.normalize(affMatchOrganization.getWebsiteUrl())); return normalizedOrganization; }
"@Test(expected = NullPointerException.class) public void parse_sourceCounter_NULL() { reportPigCounterMappingParser.parse(""destination.report.counter"", null); }","public ReportPigCounterMapping parse(String destReportCounter, String sourcePigCounterName) { Preconditions.checkNotNull(destReportCounter); Preconditions.checkNotNull(sourcePigCounterName); Matcher placeholderMatcher = PIG_COUNTER_PLACEHOLDER_PATTERN.matcher(sourcePigCounterName); if (!placeholderMatcher.matches()) { throw new IllegalArgumentException(""invalid pig counter placeholder:"" + sourcePigCounterName); } String[] placeholderValues = StringUtils.split(placeholderMatcher.group(1), PLACEHOLDER_VALUES_SEPARATOR); if (placeholderValues.length == 1) { return new ReportPigCounterMapping(placeholderValues[0], null, destReportCounter); } if (placeholderValues.length == 2) { String alias = placeholderValues[0]; String counterName = placeholderValues[1]; return new ReportPigCounterMapping(counterName, alias, destReportCounter); } throw new IllegalArgumentException(""Invalid placeholder, to many levels (dots): "" + placeholderMatcher.group(1)); }"
"@Test(expected=RuntimeException.class) public void testExtractResultIdInvalidInput() throws Exception { String objectId = ""resultId::""; ObjectStoreContentProviderUtils.extractResultIdFromObjectId(objectId); }","public static String extractResultIdFromObjectId(String objectId) { if (objectId!=null && objectId.indexOf(objectIdSeparator)>0) { StringBuffer strBuff = new StringBuffer(); strBuff.append(InfoSpaceConstants.ROW_PREFIX_RESULT); String[] split = objectId.split(objectIdSeparator); if (split.length>=2) { strBuff.append(split[0]); strBuff.append(objectIdSeparator); strBuff.append(split[1]); return strBuff.toString(); } else { throw new RuntimeException(""invalid object identifier: ""); } } else { return null; } }"
"@Test public void convert_missing_legal_name() { organization.setName("" missing legal namE""); AffMatchOrganization affMatchOrg = converter.convert(organization); assertOrganization("""", affMatchOrg); }","public AffMatchOrganization convert(Organization organization) { Preconditions.checkNotNull(organization); Preconditions.checkArgument(StringUtils.isNotBlank(organization.getId())); AffMatchOrganization affMatchOrg = new AffMatchOrganization(organization.getId().toString()); String orgName = toStringWithNullToEmpty(organization.getName()); if (orgName.trim().equalsIgnoreCase(""missing legal name"")) { orgName = """"; } affMatchOrg.setName(orgName); affMatchOrg.setShortName(toStringWithNullToEmpty(organization.getShortName())); affMatchOrg.setCountryName(toStringWithNullToEmpty(organization.getCountryName())); affMatchOrg.setCountryCode(toStringWithNullToEmpty(organization.getCountryCode())); affMatchOrg.setWebsiteUrl(toStringWithNullToEmpty(organization.getWebsiteUrl())); return affMatchOrg; }"
"@Test public void testBuildPatentMetaRequest() throws Exception { ImportedPatent.Builder patentBuilder = initializeWithDummyValues(); patentBuilder.setPublnAuth(""pubAuth""); patentBuilder.setPublnKind(""pubKind""); patentBuilder.setPublnNr(""pubNr""); String bearerToken = ""someToken""; HttpRequest httpRequest = OpenPatentWebServiceFacade.buildPatentMetaRequest(patentBuilder.build(), bearerToken, opsUriRoot); assertNotNull(httpRequest); assertEquals(OpenPatentWebServiceFacade.getPatentMetaUrl(patentBuilder.build(), opsUriRoot), httpRequest.getRequestLine().getUri()); assertEquals(""Bearer "" + bearerToken, httpRequest.getLastHeader(""Authorization"").getValue()); }","protected static HttpRequest buildPatentMetaRequest(ImportedPatent patent, String bearerToken, String urlRoot) { HttpGet httpRequest = new HttpGet(getPatentMetaUrl(patent, urlRoot)); httpRequest.addHeader(""Authorization"", ""Bearer "" + bearerToken); return httpRequest; }"
